condition,year,model,trim,title,price,mileage,dealer,deal,link
Certified,2026,4Runner,Toyota 4Runner SR5,Certified 2026 Toyota 4Runner SR5,"$47,981","3,526 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/fed612d5-45d1-470a-82d0-6f2f15af0862/?attribution_type=premier
Used,2018,4Runner,Toyota 4Runner SR5,Used 2018 Toyota 4Runner SR5,"$32,888","61,916 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/b32d2fd9-ed04-4a4c-a1b0-708c7d285eb4/
Used,2020,4Runner,Toyota 4Runner Nightshade Special Edition,Used 2020 Toyota 4Runner Nightshade Special Edition,"$41,195","54,057 mi.",Bill Luke Santan,good-deal,https://www.cars.com/vehicledetail/e2503412-1535-4d72-9786-356503c4be31/
Certified,2026,4Runner,Toyota 4Runner TRD Off Road Premium,Certified 2026 Toyota 4Runner TRD Off Road Premium,"$61,481",680 mi.,Avondale Toyota,great-deal,https://www.cars.com/vehicledetail/dd478fe7-8254-424d-8786-f3b74ca2f24a/
Used,2019,4Runner,Toyota 4Runner TRD Off Road,Used 2019 Toyota 4Runner TRD Off Road,"$32,148","95,984 mi.",Larry H. Miller Hyundai Peoria,good-deal,https://www.cars.com/vehicledetail/c0404329-0544-4eea-8228-a868e7134c15/
Used,2018,4Runner,Toyota 4Runner Limited,Used 2018 Toyota 4Runner Limited,"$31,477","90,592 mi.",Liberty GMC,good-deal,https://www.cars.com/vehicledetail/541fbf7d-08fc-407d-82cd-75ee4de0218e/
Used,2024,4Runner,Toyota 4Runner SR5,Used 2024 Toyota 4Runner SR5,"$40,996","42,139 mi.",AutoNation Toyota Tempe,good-deal,https://www.cars.com/vehicledetail/0312a605-f636-479b-b0d0-b6e1a307fe7b/
Used,2022,4Runner,Toyota 4Runner TRD Off Road,Used 2022 Toyota 4Runner TRD Off Road,"$37,956","64,472 mi.",Van Chevrolet,great-deal,https://www.cars.com/vehicledetail/3d221d10-7991-4345-bd2d-92c0a4cc0171/
Used,2024,4Runner,Toyota 4Runner SR5,Used 2024 Toyota 4Runner SR5,"$38,518","38,609 mi.",San Tan Ford,good-deal,https://www.cars.com/vehicledetail/0485e001-9600-4f82-9429-a79c99c83d9a/
Used,2023,4Runner,Toyota 4Runner Limited,Used 2023 Toyota 4Runner Limited,"$41,988","26,768 mi.",Berge Toyota,good-deal,https://www.cars.com/vehicledetail/5a71647a-fd4b-4ceb-953c-fc13387b94f9/
Used,2024,4Runner,Toyota 4Runner TRD Sport,Used 2024 Toyota 4Runner TRD Sport,"$36,995","39,587 mi.",AutoNation USA Phoenix Avondale,great-deal,https://www.cars.com/vehicledetail/ae7f2497-ec08-4476-add6-765a323ec6fb/
Used,2021,4Runner,Toyota 4Runner Limited,Used 2021 Toyota 4Runner Limited,"$34,997","57,817 mi.",EchoPark Automotive Phoenix,great-deal,https://www.cars.com/vehicledetail/404352de-c661-40ba-ae9c-db987b1221f7/
Used,2023,4Runner,Toyota 4Runner SR5,Used 2023 Toyota 4Runner SR5,"$34,998","58,000 mi.",CarMax Phoenix-Gilbert,good-deal,https://www.cars.com/vehicledetail/04912c6a-c7a4-411d-9bbc-60124acaeb2a/
Used,2018,4Runner,Toyota 4Runner SR5,Used 2018 Toyota 4Runner SR5,"$25,477","133,062 mi.",101 AUTO OUTLET,good-deal,https://www.cars.com/vehicledetail/6d01c7f2-2d71-43b7-9167-affacec1c270/
Used,2020,4Runner,Toyota 4Runner Sport,Used 2020 Toyota 4Runner Sport,"$31,997","115,009 mi.",Mark Mazda,good-deal,https://www.cars.com/vehicledetail/65a519ec-098b-45e2-ad75-242a8cfa4543/
Used,2024,4Runner,Toyota 4Runner SR5,Used 2024 Toyota 4Runner SR5,"$45,998","15,948 mi.",CarMax Scottsdale,good-deal,https://www.cars.com/vehicledetail/a3410a64-a768-4e80-99e9-976dfc0e93dd/
